Title,Screen,Processor,RAM,Disk,Graphic_card,Operating_system,Price,Discounted_price,Brand,screen_inches,screen_res,screen_touch,CPU,disk_hdd,disk_ssd,disk_flash,disk_emmc,GPU,OS,is_discounted,Price_int,Shop
Laptop HUAWEI MateBook 13 i5-10210U 8GB 512GB SSD W10,"13"", 2160 x 1440px",Intel Core i5-10210U,8,512 GB SSD,Intel UHD Graphics 620,Windows 10 Home,3 999,3 499,huawei,13.0,2160x1440,0,i5,0,512,0,0,integrated,windows,1,3499,mediaexpert
Laptop ACER Aspire 3 i3-8130U 4GB 256GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i3-8130U,4,256 GB SSD,Intel UHD Graphics 620,Windows 10 Home,2 499,1 999,acer,15.6,1920x1080,0,i3,0,256,0,0,integrated,windows,1,1999,mediaexpert
Laptop ACER Aspire 3 i3-8130U 8GB 512GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i3-8130U,8,512 GB SSD,Intel UHD Graphics 620,Windows 10 Home,2 799,2 399,acer,15.6,1920x1080,0,i3,0,512,0,0,integrated,windows,1,2399,mediaexpert
Laptop ASUS VivoBook 15 A512DA 3500U 8GB 512GB SSD W10,"15.6"", 1920 x 1080px",AMD Ryzen 5 3500U,8,512 GB SSD,AMD Radeon Vega 8,Windows 10 Home,,2 499,asus,15.6,1920x1080,0,ryzen 5,0,512,0,0,radeon vega,windows,0,2499,mediaexpert
APPLE MacBook Air i3-1000NG4 8GB 256GB SSD macOS,"13.3"", 2560 x 1600px",Intel Core i3-1000NG4,8,256 GB SSD,Intel Iris Plus Graphics,macOS Catalina,,4 849,apple,13.3,2560x1600,0,i3,0,256,0,0,integrated,macOS,0,4849,mediaexpert
Laptop HP Stream 14-DS0005NW A4-9120E 4GB 64GB eMMC W10S,"14"", 1366 x 768px",AMD A4-9120e,4,64 GB Flash,AMD Radeon R3,Windows 10 S,,1 299,hp,14.0,1366x768,0,other,0,0,64,0,radeon r,windows,0,1299,mediaexpert
Laptop LENOVO IdeaPad 3 15ADA05 Ryzen 5 3500U 8GB 512GB SSD W10,"15.6"", 1920 x 1080px",AMD Ryzen 5 3500U,8,512 GB SSD,AMD Radeon Vega 8,Windows 10 Home,2 899,2 499,lenovo,15.6,1920x1080,0,ryzen 5,0,512,0,0,radeon vega,windows,1,2499,mediaexpert
Laptop ACER Predator Helios 300 i7-9750H 16GB 512GB GF-RTX 2060 W10,"15.6"", 1920 x 1080px",Intel Core i7-9750H,16,512 GB SSD,NVIDIA GeForce RTX 2060,Windows 10 Home,,5 999,acer,15.6,1920x1080,0,i7,0,512,0,0,geforce rtx,windows,0,5999,mediaexpert
Laptop LENOVO IdeaPad 3 Ryzen 3 3250U 4GB 256GB SSD DOS,"17.3"", 1600 x 900px",AMD Ryzen 3 3250U,4,256 GB SSD,AMD Radeon Graphics,Brak,2 299,1 849,lenovo,17.3,1600x900,0,ryzen 3,0,256,0,0,integrated,none,1,1849,mediaexpert
Laptop ACER Aspire 7 Ryzen 5 3550H 8GB 512GB SSD GF-GTX 1650 DOS,"15.6"", 1920 x 1080px",AMD Ryzen 5 3550H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,3 799,2 999,acer,15.6,1920x1080,0,ryzen 5,0,512,0,0,geforce gtx,none,1,2999,mediaexpert
Laptop ACER Nitro 5 i5-10300H 8GB 512GB SSD GF-GTX 1650 W10,"15.6"", 1920 x 1080px",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,4 399,3 999,acer,15.6,1920x1080,0,i5,0,512,0,0,geforce gtx,windows,1,3999,mediaexpert
Laptop ASUS A509JA i3-1005G1 4GB 256GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i3-1005G1,4,256 GB SSD,Intel UHD Graphics,Windows 10 Home,2 599,2 199,asus,15.6,1920x1080,0,i3,0,256,0,0,integrated,windows,1,2199,mediaexpert
Laptop ACER Nitro 5 i5-9300H 16GB 512GB SSD GF-GTX 1650 W10,"15.6"", 1920 x 1080px",Intel Core i5-9300H,16,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,,3 949,acer,15.6,1920x1080,0,i5,0,512,0,0,geforce gtx,windows,0,3949,mediaexpert
Laptop ASUS E410MA N4020 4GB 64GB eMMC W10S,"14"", 1920 x 1080px",Intel Celeron N4020,4,64 GB SSD,Intel UHD Graphics 600,Windows 10 S,,1 299,asus,14.0,1920x1080,0,celeron,0,64,0,0,integrated,windows,0,1299,mediaexpert
Laptop ACER TravelMate X5 i5-8265U 8GB 512GB SSD WINDOWS 10 PRO,"14"", 1920 x 1080px",Intel Core i5-8265U,8,512 GB SSD,Intel UHD Graphics 620,Windows 10 Professional,,4 199,acer,14.0,1920x1080,0,i5,0,512,0,0,integrated,windows,0,4199,mediaexpert
Laptop DELL Inspiron 15 5501 i5-1035G1 8GB 512GB SSD GF-MX 330 W10,"15.6"", 1920 x 1080px",Intel Core i5-1035G1,8,512 GB SSD,NVIDIA GeForce MX330,Windows 10 Home,4 499,3 999,dell,15.6,1920x1080,0,i5,0,512,0,0,geforce mx,windows,1,3999,mediaexpert
Laptop DELL Inspiron 15 3593 i5-1035G1 8GB 512GB SSD W10P,"15.6"", 1920 x 1080px",Intel Core i5-1035G1,8,512 GB SSD,Intel UHD Graphics,Windows 10 Professional,,3 099,dell,15.6,1920x1080,0,i5,0,512,0,0,integrated,windows,0,3099,mediaexpert
Laptop ASUS A509JA-EJ646 i3-1005G1 4GB 256GB SSD DOS,"15.6"", 1920 x 1080px",Intel Core i3-1005G1,4,256 GB SSD,Intel UHD Graphics,Brak,,2 299,asus,15.6,1920x1080,0,i3,0,256,0,0,integrated,none,0,2299,mediaexpert
Laptop DELL G3 15 3500 i5-10300H 8GB 512GB SSD GF-GTX 1650 W10,"15.6"", 1920 x 1080px",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,,4 399,dell,15.6,1920x1080,0,i5,0,512,0,0,geforce gtx,windows,0,4399,mediaexpert
Laptop ASUS VivoBook 15 A509DA Ryzen 5 3500U 4GB 256GB SSD W10,"15.6"", 1920 x 1080px",AMD Ryzen 5 3500U,4,256 GB SSD,AMD Radeon Vega 8,Windows 10 Home,,2 299,asus,15.6,1920x1080,0,ryzen 5,0,256,0,0,radeon vega,windows,0,2299,mediaexpert
Laptop ACER Nitro 5 i5-10300H 8GB 512GB SSD GF-GTX 1650 DOS,"15.6"", 1920 x 1080px",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,3 999,3 499,acer,15.6,1920x1080,0,i5,0,512,0,0,geforce gtx,none,1,3499,mediaexpert
Laptop ACER Nitro 5 i5-9300H 8GB 512GB SSD GF-GTX 1050 W10,"17.3"", 1920 x 1080px",Intel Core i5-9300H,8,512 GB SSD,NVIDIA GeForce GTX 1050,Windows 10 Home,,4 199,acer,17.3,1920x1080,0,i5,0,512,0,0,geforce gtx,windows,0,4199,mediaexpert
Laptop HP Pavilion Gaming 15-EC0047NW Ryzen 5 3550H 8GB 512GB SSD GF-GTX 1650 W10,"15.6"", 1920 x 1080px",AMD Ryzen 5 3550H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,,3 699,hp,15.6,1920x1080,0,ryzen 5,0,512,0,0,geforce gtx,windows,0,3699,mediaexpert
Laptop ACER Nitro 5 Ryzen 5 4600H 8GB 512GB SSD GF-GTX 1650 W10,"15.6"", 1920 x 1080px",AMD Ryzen 5 4600H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,3 899,3 599,acer,15.6,1920x1080,0,ryzen 5,0,512,0,0,geforce gtx,windows,1,3599,mediaexpert
Laptop DELL Inspiron 15 3582 N5000 4GB 1000GB W10,"15.6"", 1366 x 768px",Intel Pentium N5000,4,1000 GB HDD,Intel UHD Graphics 605,Windows 10 Home,,1 990,dell,15.6,1366x768,0,pentium,1024,0,0,0,integrated,windows,0,1990,mediaexpert
Laptop DELL Inspiron 5491 i5-10210U 8GB 512GB SSD W10,"14"", 1920 x 1080px, Dotykowy",Intel Core i5-10210U,8,512 GB SSD,Intel UHD Graphics 620,Windows 10 Home,,3 799,dell,14.0,1920x1080,1,i5,0,512,0,0,integrated,windows,0,3799,mediaexpert
Laptop ACER Swift 3 (NX.GQGEP.006) i5-8250U 4GB 256GB SSD W10,"14"", 1920 x 1080px",Intel Core i5-8250U,4,256 GB SSD,Intel UHD Graphics 620,Windows 10 Home,,2 799,acer,14.0,1920x1080,0,i5,0,256,0,0,integrated,windows,0,2799,mediaexpert
Laptop LENOVO IdeaPad 3 i5-1035G1 8GB 512GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i5-1035G1,8,512 GB SSD,Intel UHD Graphics,Windows 10 Home,,2 999,lenovo,15.6,1920x1080,0,i5,0,512,0,0,integrated,windows,0,2999,mediaexpert
Laptop LENOVO IdeaPad 5 14ARE05 Ryzen 7 4700U 16GB 512GB SSD W10,"14"", 1920 x 1080px",AMD Ryzen 7 4700U,16,512 GB SSD,AMD Radeon Graphics,Windows 10 Home,4 099,3 799,lenovo,14.0,1920x1080,0,ryzen 7,0,512,0,0,integrated,windows,1,3799,mediaexpert
Laptop ACER Swift 1 N4000 4GB 64GB eMMC W10,"14"", 1920 x 1080px",Intel Celeron N4000,4,64 GB Flash,Intel UHD Graphics 600,Windows 10 Home,,1 449,acer,14.0,1920x1080,0,celeron,0,0,64,0,integrated,windows,0,1449,mediaexpert
