Title,Brand,Screen,Processor,RAM,Disk,Graphic_card,Operating_system,Price
ASUS ZenBook 14 UM431DA 14'' AMD Ryzen 5 3500U - 8GB RAM - 512GB Dysk - Win10,ASUS,"14 cali,  1920 x 1080 pikseli","AMD Ryzen™ 5 3500U 2,1 - 3,7 GHz",8 GB RAM,512 GB SSD,AMD Radeon Vega 8,Windows 10 Home Edition,2 999 z?
"ASUS TUF Gaming FX505DT-AL087T 15,6"" 120Hz AMD Ryzen 5 3550H - 8GB RAM - 512GB Dysk - GTX 1650 Grafika - Win10",ASUS,"15,6 cala,  1920 x 1080 pikseli 120 Hz","AMD Ryzen™ 5 3550H 2,1 - 3,7 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce GTX 1650 + AMD Radeon RX Vega 8,Windows 10 Home Edition,3 399 z?
"Huawei MateBook D14 14"" AMD Ryzen 5 3500U - 8GB RAM - 512GB Dysk - Win10",Huawei,"14 cali,  1920 x 1080 pikseli","AMD Ryzen™ 5 3500U 2,1 - 3,7 GHz",8 GB RAM,512 GB SSD,AMD Radeon Vega 8,Windows 10 Home Edition,"2 799 z?
		
		
				Limitowana oferta 
			
		
						Pula kodów zosta?a wyczerpana
					
				
	
			
		
		
			
					Promocja zako?czona"
"ASUS M509DA-EJ034T 15,6'' AMD Ryzen 5 3500U - 8GB RAM - 256GB Dysk - Win10",ASUS,"15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 5 3500U 2,1 - 3,7 GHz",8 GB RAM,256 GB SSD,AMD Radeon Vega 8,Windows 10 Home Edition,2 299 z?
"ASUS ROG Strix G G531GU-AL065 15,6""120Hz Intel® Core™ i7-9750H - 16GB RAM - 512GB Dysk - GTX1660Ti Grafika",ASUS,"15,6 cala,  1920 x 1080 pikseli 120 Hz","Intel® Core™ i7 9gen 9750H 2,6 - 4,5 GHz",16 GB RAM,512 GB SSD,nVidia® GeForce GTX 1660Ti + Intel UHD Graphics 630,,5 399 z?
"Huawei MateBook D14 14"" AMD Ryzen 7 3700U - 8GB RAM - 512GB Dysk - Win10",Huawei,"14 cali,  1920 x 1080 pikseli","AMD Ryzen™ 7 3700U 2,3 - 4,0 GHz",8 GB RAM,512 GB SSD,AMD Radeon Vega 10,Windows 10 Home Edition,2 999 z?
"Acer Nitro 5 AN515-44-R9GT 15,6"" 144Hz AMD Ryzen 5 4600H - 8GB RAM - 512GB Dysk - GTX1650 Grafika",Acer,"15,6 cala,  1920 x 1080 pikseli 144 Hz","AMD Ryzen™ 5 4600H 3,0 - 4,0 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce GTX1650 + AMD Radeon,,3 399 z?
"Acer Aspire 5 A515-44-R54F 15,6"" AMD Ryzen 5 4500U - 8GB RAM - 512GB Dysk - Win10",Acer,"15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 5 4500U 2,3 - 4,0 GHz",8 GB RAM,512 GB SSD,AMD Radeon Graphics,Windows 10 Home Edition,2 699 z?
"ASUS TUF Gaming FX505DT-BQ051 15,6"" AMD Ryzen 5 3550H - 8GB RAM - 512GB Dysk - GTX 1650 Grafika",ASUS,"15,6 cala,  1920 x 1080 pikseli 60 Hz","AMD Ryzen™ 5 3550H 2,1 - 3,7 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce GTX 1650 + AMD Radeon RX Vega 8,,2 999 z?
"Dell Inspiron 3593 15,6"" Intel® Core™ i5-1035G1 - 8GB RAM - 256GB Dysk - Win10",Dell,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 10gen 1035G1 1,0 - 3,6 GHz",8 GB RAM,256 GB SSD,Intel® UHD Graphics,Windows 10 Home Edition,2 799 z?
"HP 15s-eq0047nw 15,6"" AMD Ryzen 5 3500U - 8GB RAM - 512GB Dysk",HP,"15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 5 3500U 2,1 - 3,7 GHz",8 GB RAM,512 GB SSD,AMD Radeon Vega 8,,2 299 z?
"HP Pavilion Gaming 15-ec0042nw 15,6"" AMD Ryzen 5 3550H - 8GB RAM - 512GB Dysk - GTX1650 Grafika",HP,"15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 5 3550H 2,1 - 3,7 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce GTX 1650 + AMD Radeon Vega 8,,3 299 z?
"Dell Inspiron 3593-2201 15,6"" Intel® Core™ i3-1005G1 - 4GB RAM - 256GB Dysk - Win10",Dell,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i3 10gen 1005G1 1,2 - 3,4 GHz",4 GB RAM,256 GB SSD,Intel® UHD Graphics,Windows 10 Home Edition,2 199 z?
"HP 15s-eq0027nw 15,6"" AMD Ryzen 3 3200U - 8GB RAM - 512GB Dysk - Win10",HP,"15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 3 3200U 2,6 - 3,5 GHz",8 GB RAM,512 GB SSD,AMD Radeon Vega 3,Windows 10 Home Edition,1 999 z?
"Lenovo Ideapad L340-17IRH Gaming 17,3"" Intel® Core™ i5-9300HF - 8GB RAM - 256GB Dysk - GTX1650 Grafika - Win10",Lenovo,"17,3 cala,  1920 x 1080 pikseli","Intel® Core™ i5 9gen 9300HF 2,4 - 4,1 GHz",8 GB RAM,256 GB SSD,nVidia® GeForce GTX1650,Windows 10 Home Edition,3 333 z?
"Lenovo IdeaPad 3 15ADA05 15,6"" AMD Ryzen 5 3500U - 8GB RAM - 512GB Dysk - Win10",Lenovo,"15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 5 3500U 2,1 - 3,7 GHz",8 GB RAM,512 GB SSD,AMD Radeon Vega 8,Windows 10 Home Edition,2 499 z?
"Lenovo IdeaPad S145-15API 15,6"" AMD Ryzen 5 3500U - 8GB RAM - 256GB Dysk - Win10",Lenovo,"15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 5 3500U 2,1 - 3,7 GHz",8 GB RAM,256 GB SSD,AMD Radeon Vega 8,Windows 10 Home Edition,2 399 z?
"Acer Nitro 5 15,6"" Intel® Core™ i5-8300H - 8GB RAM - 1TB SSD Dysk - GTX1650 Grafika - Win10",Acer,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 8gen 8300H 2,3 - 4,0 GHz",8 GB RAM,1 TB SSD,nVidia® GeForce GTX 1650 + Intel UHD Graphics 630,Windows 10 Home Edition,3 599 z?
"HP Pavilion Gaming 15-ec0051nw 15,6"" AMD Ryzen 5 3550H - 8GB RAM - 512GB Dysk - GTX1050 Grafika - Win10",HP,"15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 5 3550H 2,1 - 3,7 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce GTX 1050 + AMD Radeon Vega 8,Windows 10 Home Edition,2 999 z?
"Acer Nitro 5 AN515-44-R314 15,6"" 144Hz AMD Ryzen 5 4600H - 16GB RAM - 512GB Dysk - GTX1650 Grafika",Acer,"15,6 cala,  1920 x 1080 pikseli 144 Hz","AMD Ryzen™ 5 4600H 3,0 - 4,0 GHz",16 GB RAM,512 GB SSD,nVidia® GeForce GTX1650 + AMD Radeon,,3 699 z?
"Acer Nitro 5 AN515-44-R3E6 15,6"" 144Hz AMD Ryzen 5 4600H - 8GB RAM - 512GB Dysk - GTX1650 Grafika - Win10",Acer,"15,6 cala,  1920 x 1080 pikseli 144 Hz","AMD Ryzen™ 5 4600H 3,0 - 4,0 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce GTX1650 + AMD Radeon,Windows 10 Home Edition,3 599 z?
"Acer Nitro 5 AN515-44-R94X 15,6"" 144Hz AMD Ryzen 5 4600H - 8GB RAM - 512GB Dysk - GTX1650Ti Grafika",Acer,"15,6 cala,  1920 x 1080 pikseli 144 Hz","AMD Ryzen™ 5 4600H 3,0 - 4,0 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce GTX1650 Ti + AMD Radeon,,3 699 z?
"HP Pavilion Gaming 15-dk0053nw 15,6"" Intel® Core™ i5-9300H - 8GB RAM - 512GB Dysk - GTX1650 Grafika",HP,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 9gen 9300H 2,4 - 4,1 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce GTX 1650 + Intel UHD Graphics 630,,3 149 z?
"Lenovo IdeaPad S540-15IWL GTX 15,6"" Intel® Core™ i5-8265U - 8GB RAM - 256GB Dysk - GTX1650 Max-Q Grafika - Win10",Lenovo,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 8gen 8265U 1,6 - 3,9 GHz",8 GB RAM,256 GB SSD,nVidia® GeForce GTX 1650 Max-Q + Intel UHD Graphics 620,Windows 10 Home Edition,3 999 z?
"Lenovo IdeaPad S145-15IIL 15,6"" Intel® Core™ i5-1035G1 - 8GB RAM - 512GB Dysk - Win10",Lenovo,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 10gen 1035G1 1,0 - 3,6 GHz",8 GB RAM,512 GB SSD,Intel® UHD Graphics,Windows 10 Home Edition,2 699 z?
"Lenovo Ideapad L340-15IRH Gaming 15,6"" Intel® Core™ i5-9300HF - 8GB RAM - 256GB Dysk - GTX1650 Grafika",Lenovo,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 9gen 9300HF 2,4 - 4,1 GHz",8 GB RAM,256 GB SSD,nVidia® GeForce GTX1650,,3 299 z?
