Title,Brand,Screen,Processor,RAM,Disk,Graphic_card,Operating_system,Price
HP Pavilion 14-ce3009nw 14'' Intel® Core™ i5-1035G1 - 8GB RAM - 512GB Dysk - Win10,HP,"14 cali,  1920 x 1080 pikseli","Intel® Core™ i5 10gen 1035G1 1,0 - 3,6 GHz",8 GB RAM,512 GB,UHD Graphics,Windows 10 Home Edition,3 049 z?
"ASUS ZenBook Duo UX481FL-HJ150T 14"" Intel® Core™ i5-10210U - 16GB RAM - 1TB SSD Dysk - MX250 Grafika - Win10",ASUS,"14 cali, ekran dotykowy 1920 x 1080 pikseli","Intel® Core™ i5 10gen 10210U 1,6 - 4,2 GHz",16 GB RAM,1 TB SSD,nVidia® GeForce MX250 + Intel UHD Graphics,Windows 10 Home Edition,6 499 z?
"Huawei MateBook 13 2020 13"" Intel® Core™ i7-10510U - 16GB RAM - 512GB Dysk - MX250 Grafika - Win10",Huawei,"13 cali, ekran dotykowy 2160 x 1440 pikseli","Intel® Core™ i7 10gen 10510U 1,8 - 4,9 GHz",16 GB RAM,512 GB SSD,nVidia® GeForce MX250 + Intel UHD Graphics,Windows 10 Home Edition,5 999 z?
ASUS ZenBook 14 UX425JA-BM045T 14'' Intel® Core™ i5-1035G1 - 16GB RAM - 512GB Dysk - Win10,ASUS,"14 cali,  1920 x 1080 pikseli","Intel® Core™ i5 10gen 1035G1 1,0 - 3,6 GHz",16 GB RAM,512 GB SSD,Intel® UHD Graphics,Windows 10 Home Edition,4 499 z?
"HP Pavilion 15-cw1023nw 15,6"" AMD Ryzen 5 3500U - 8GB RAM - 512GB Dysk - Win10",HP,"15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 5 3500U 2,1 - 3,7 GHz",8 GB RAM,512 GB SSD,AMD Radeon Vega 8,Windows 10 Home Edition,2 849 z?
"MSI Modern 14 A10M-465PL 14"" Intel® Core™ i5-10210U - 8GB RAM - 512GB Dysk - Win10",MSI,"14 cali,  1920 x 1080 pikseli","Intel® Core™ i5 10gen 10210U 1,6 - 4,2 GHz",8 GB RAM,512 GB SSD,Intel® UHD Graphics,Windows 10 Home Edition,"3 499 z?
			
				
					3 799 z?
				Taniej o 300 z?
		
		
					Cena z kodem: MZN020920
			
	
			(obowi?zuje do 05.09.2020 do 23:45)
				
	
	
  Dodaj do koszyka produkt obj?ty promocj?.
  Kod rabatowy naliczy si? automatycznie w koszyku.
  Kod nie ??czy si? z innymi kodami rabatowymi.
  Promocja obowi?zuje od 02.09.2020 od godz. 00:01 do 05.09.2020 do godz. 23:45.
  Szczegó?y w regulaminie"
ASUS ZenBook 14 UX434FLC-A5250T 14'' Intel® Core™ i5-10210U - 8GB RAM - 512GB Dysk - MX250 Grafika - Win10,ASUS,"14 cali,  1920 x 1080 pikseli","Intel® Core™ i5 10gen 10210U 1,6 - 4,2 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce MX 250 + Intel UHD Graphics,Windows 10 Home Edition,"4 399 z?
			
				
					4 699 z?
				Taniej o 300 z?
		
		
					Cena z kodem: RKW03090709C
			
	
			(obowi?zuje do 07.09.2020 do 23:45)
				
	
	
  Dodaj do koszyka produkt obj?ty promocj?.
  Kod rabatowy naliczy si? automatycznie w koszyku.
  Kod nie ??czy si? z innymi kodami rabatowymi.
  Promocja obowi?zuje od 03.09.2020 od godz. 00:01 do 07.09.2020 do godz. 23:45.
  Szczegó?y w regulaminie"
"HP Pavilion 15-cw1022nw 15,6"" AMD Ryzen 5 3500U - 8GB RAM - 512GB Dysk - Win10",HP,"15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 5 3500U 2,1 - 3,7 GHz",8 GB RAM,512 GB SSD,AMD Radeon Vega 8,Windows 10 Home Edition,2 849 z?
ASUS VivoBook Flip 14 TM420IA-EC117T 14'' AMD Ryzen 3 4300U - 8GB RAM - 256GB Dysk - Win10S,ASUS,"14 cali, ekran dotykowy 1920 x 1080 pikseli","AMD Ryzen™ 3 4300U 2,7 - 3,7 GHz",8 GB RAM,256 GB SSD,AMD Radeon™ Graphics,Windows 10 S,2 799 z?
,Apple,"16 cali,  3072 x 1920 pikseli","Intel® Core™ i7 9gen  2,6 - 4,5 GHz",16 GB RAM,512 GB SSD,AMD Radeon Pro 5300M + Intel UHD Graphics 630,,10 999 z?
"Dell Vostro 3590 15,6"" Intel® Core™ i3-10110U - 8GB RAM - 256GB Dysk - Win10 Pro",Dell,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i3 10gen 10110U 2,1 - 4,1 GHz",8 GB RAM,256 GB SSD,Intel® UHD Graphics,Windows 10 Professional,2 829 z?
"HP 15s-fq1090nw 15,6"" Intel® Core™ i5-1035G1 - 8GB RAM - 1TB SSD Dysk - Win10",HP,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 10gen 1035G1 1,0 - 3,6 GHz",8 GB RAM,1 TB SSD,Intel® UHD Graphics,Windows 10 Home Edition,3 099 z?
"ASUS ROG Zephyrus G14 GA401II-HE120 14"" 120Hz AMD Ryzen 7 4800HS - 16GB RAM - 1TB Dysk - GTX1650Ti Grafika",ASUS,"14 cali,  1920 x 1080 pikseli 120 Hz","AMD Ryzen™ 7 4800HS 2,9 - 4,2 GHz",16 GB RAM,1 TB SSD,nVidia® GeForce GTX 1650 Ti + AMD Radeon RX Vega,,6 199 z?
"Acer Swift 5 SF514-54T-5089 14"" Intel® Core™ i5-1035G1 - 8GB RAM - 1TB SSD Dysk - Win10",Acer,"14 cali, ekran dotykowy 1920 x 1080 pikseli","Intel® Core™ i5 10gen 1035G1 1,0 - 3,6 GHz",8 GB RAM,1 TB SSD,Intel® UHD Graphics,Windows 10 Home Edition,4 299 z?
,Apple,"13,3 cala,  2560 x 1600 pikseli","Intel® Core™ i5 8gen  2,4 - 4,1 GHz",8 GB RAM,256 GB SSD,Intel® Iris Plus Graphics 655,,"6 899 z?
			
				
					7 199 z?
				Taniej o 300 z?
		
		
					Cena z kodem: RKW03090709C
			
	
			(obowi?zuje do 07.09.2020 do 23:45)
				
	
	
  Dodaj do koszyka produkt obj?ty promocj?.
  Kod rabatowy naliczy si? automatycznie w koszyku.
  Kod nie ??czy si? z innymi kodami rabatowymi.
  Promocja obowi?zuje od 03.09.2020 od godz. 00:01 do 07.09.2020 do godz. 23:45.
  Szczegó?y w regulaminie"
"Huawei MateBook X Pro 13,9"" Intel® Core™ i5-8250U - 8GB RAM - 256GB Dysk - Win10",Huawei,"13,9 cala, ekran dotykowy 3000 x 2000 pikseli","Intel® Core™ i5 8gen 8250U 1,6 - 3,4 GHz",8 GB RAM,256 GB SSD,Intel® HD Graphics 620,Windows 10 Home Edition,4 649 z?
"HP Pavilion 15-cs3055nw 15,6"" Intel® Core™ i5-1035G1 - 8GB RAM - 512GB Dysk - Win10",HP,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 10gen 1035G1 1,0 - 3,6 GHz",8 GB RAM,512 GB SSD,Intel® UHD Graphics,Windows 10 Home Edition,3 399 z?
"ASUS TUF Gaming A15 FA506IV-AL038 15,6'' 144Hz AMD Ryzen 9 4900H - 16GB RAM - 1TB SSD Dysk - RTX2060 Grafika",ASUS,"15,6 cala,  1920 x 1080 pikseli 144 Hz","AMD Ryzen™ 9 4900H 3,2 - 4,4 GHz",16 GB RAM,1 TB SSD,nVidia® GeForce RTX 2060 + AMD Radeon Graphics,,5 799 z?
"HP Envy x360 13-ar0008nw 13,3'' AMD Ryzen 7 3700U - 16GB RAM - 512GB Dysk - Win10",HP,"13,3 cala, ekran dotykowy 1920 x 1080 pikseli","AMD Ryzen™ 7 3700U 2,3 - 4,0 GHz",16 GB RAM,512 GB SSD,AMD Radeon Vega 10,Windows 10 Home Edition,4 399 z?
"Dell Inspiron 3593-2270 15,6"" Intel® Core™ i7-1065G7 - 8GB RAM - 512GB Dysk - MX230 Grafika - Win10",Dell,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i7 10gen 1065G7 1,3 - 3,9 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce MX 230 + Intel Iris Plus Graphics,Windows 10 Home Edition,3 799 z?
"ASUS ROG Zephyrus S17 GX701LXS-HG042T 17,3"" 300Hz Intel® Core™ i7-10875H - 32GB RAM -1TB SSD Dysk - RTX2080S Grafika - W10",ASUS,"17,3 cala,  1920 x 1080 pikseli 300 Hz","Intel® Core™ i7 10gen 10875H 2,3 - 5,1 GHz",32 GB RAM,1 TB SSD,nVidia® GeForce RTX 2080 SUPER + Intel UHD Graphics,Windows 10 Home Edition,14 449 z?
,Apple,"13,3 cala,  2560 x 1600 pikseli","Intel® Core™ i5 10gen  2,0 - 3,8 GHz",16 GB RAM,512 GB SSD,Intel® Iris Plus Graphics,,
"Huawei MateBook X Pro 2020 53011AGG 13,9"" Intel® Core™ i7-10510U - 16GB RAM - 1TB SSD Dysk - MX250 Grafika - Win10 Pro",Huawei,"13,9 cala, ekran dotykowy 3000 x 2000 pikseli","Intel® Core™ i7 10gen 10510U 1,8 - 4,9 GHz",16 GB RAM,1 TB SSD,nVidia® GeForce MX 250 + Intel UHD Graphics,Windows 10 Professional,8 499 z?
,Apple,"16 cali,  3072 x 1920 pikseli","Intel® Core™ i9 9gen  2,3 - 4,8 GHz",16 GB RAM,1 TB SSD,AMD Radeon Pro 5500M + Intel UHD Graphics 630,,13 199 z?
"ASUS ROG Strix G G531GW-AL099 15,6"" 120Hz Intel® Core™ i7-9750H - 16GB RAM - 512GB Dysk - RTX2070 Grafika",ASUS,"15,6 cala,  1920 x 1080 pikseli 120 Hz","Intel® Core™ i7 9gen 9750H 2,6 - 4,5 GHz",16 GB RAM,512 GB SSD,nVidia® GeForce RTX 2070 + Intel UHD Graphics 630,,7 199 z?
"Lenovo Legion Y540-15IRH 15,6"" Intel® Core™ i7-9750HF - 8GB RAM - 512GB Dysk - RTX2060 Grafika - Win10",Lenovo,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i7 9gen 9750HF 2,6 - 4,5 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce RTX 2060,Windows 10 Home Edition,5 299 z?
"MSI Modern 14 A10M-894PL 14"" Intel® Core™ i5-10210U - 8GB RAM - 512GB Dysk - Win10",MSI,"14 cali,  1920 x 1080 pikseli","Intel® Core™ i5 10gen 10210U 1,6 - 4,2 GHz",8 GB RAM,512 GB SSD,Intel® UHD Graphics,Windows 10 Home Edition,3 399 z?
"Dell XPS 15 9570 15,6'' i5-8300H - 8GB RAM - 1TB + 128GB Dysk - GTX1050 Grafika - Win10",Dell,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 8gen 8300H 2,3 - 4,0 GHz",8 GB RAM,1 TB HDD 128 GB SSD,nVidia® GeForce GTX1050 MaxQ + Intel HD Graphics 615,Windows 10 Home Edition,"6 999 z?
			
				
					7 499 z?
				Taniej o 500 z?
		
		
					Cena z kodem: MZN020920
			
	
			(obowi?zuje do 05.09.2020 do 23:45)
				
	
	
  Dodaj do koszyka produkt obj?ty promocj?.
  Kod rabatowy naliczy si? automatycznie w koszyku.
  Kod nie ??czy si? z innymi kodami rabatowymi.
  Promocja obowi?zuje od 02.09.2020 od godz. 00:01 do 05.09.2020 do godz. 23:45.
  Szczegó?y w regulaminie"
"MSI GP75 Leopard 10SEK-021PL 17,3""144Hz Intel® Core™ i7-10750H - 8GB RAM - 512GB Dysk - RTX2060 Grafika - Win10",MSI,"17,3 cala,  1920 x 1080 pikseli 144 Hz","Intel® Core™ i7 10gen 10750H 2,6 - 5,0 GHz",8 GB RAM,512 GB,nVidia® GeForce RTX 2060 + Intel UHD Graphics,Windows 10 Home Edition,7 199 z?
"HP 15s-eq0025nw 15,6"" AMD Ryzen 3 3200U - 4GB RAM - 256GB Dysk - Win10",HP,"15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 3 3200U 2,6 - 3,5 GHz",4 GB RAM,256 GB SSD,AMD Radeon Vega 3,Windows 10 Home Edition,2 149 z?
"Lenovo Yoga S730-13IML 13,3"" Intel® Core™ i7-10510U - 8GB RAM - 512GB Dysk - Win10",Lenovo,"13,3 cala,  1920 x 1080 pikseli","Intel® Core™ i7 10gen 10510U 1,8 - 4,9 GHz",8 GB RAM,512 GB SSD,Intel® UHD Graphics,Windows 10 Home Edition,"3 899 z?
			
				
					4 399 z?
				Taniej o 500 z?
		
		
					Cena z kodem: RKW03090709C
			
	
			(obowi?zuje do 07.09.2020 do 23:45)
				
	
	
  Dodaj do koszyka produkt obj?ty promocj?.
  Kod rabatowy naliczy si? automatycznie w koszyku.
  Kod nie ??czy si? z innymi kodami rabatowymi.
  Promocja obowi?zuje od 03.09.2020 od godz. 00:01 do 07.09.2020 do godz. 23:45.
  Szczegó?y w regulaminie"
"Lenovo Yoga S940-14IIL 14"" Intel® Core™ i5-1035G4 - 8GB RAM - 512GB Dysk - Win10",Lenovo,"14 cali, ekran dotykowy 1920 x 1080 pikseli","Intel® Core™ i5 10gen 1035G4 1,1 - 3,7 GHz",8 GB RAM,512 GB SSD,Intel® Iris Plus Graphics,Windows 10 Home Edition,7 399 z?
"HP 17-ca1010nw 17,3'' AMD Ryzen 5 3500U - 8GB RAM - 256GB Dysk - Win10",HP,"17,3 cala,  1920 x 1080 pikseli","AMD Ryzen™ 5 3500U 2,1 - 3,7 GHz",8 GB RAM,256 GB SSD,AMD Radeon Vega 8,Windows 10 Home Edition,2 699 z?
"Lenovo Legion 5 15ARH05 15,6"" AMD Ryzen 5 4600H - 8GB RAM - 1TB SSD Dysk - GXT1650 Grafika - Win10",Lenovo,"15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 5 4600H 3,0 - 4,0 GHz",8 GB RAM,1 TB SSD,nVidia® GeForce GTX 1650 + AMD Radeon Graphics,Windows 10 Home Edition,4 399 z?
"MSI GF75 Thin 10SCSR-098PL 17,3"" 144Hz Intel® Core™ i5-10300H - 8GB RAM - 512GB Dysk - GTX1650Ti Grafika - Win10",MSI,"17,3 cala,  1920 x 1080 pikseli 144 Hz","Intel® Core™ i5 10gen 10300H 2,5 - 4,5 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce GTX 1650 Ti + Intel HD Graphics,Windows 10 Home Edition,4 899 z?
"Lenovo Legion 5 15IMH05 15,6"" 120Hz Intel® Core™ i5-10300H - 8GB RAM - 512GB Dysk - GTX650Ti Grafika - Win10",Lenovo,"15,6 cala,  1920 x 1080 pikseli 120 Hz","Intel® Core™ i5 10gen 10300H 2,5 - 4,5 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce GTX 1650 Ti + Intel UHD Graphics,Windows 10 Home Edition,4 499 z?
"ASUS TUF Gaming FX505GT-BQ018 15,6"" Intel® Core™ i5-9300H - 8GB RAM - 512GB Dysk - GTX1650 Grafika",ASUS,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 9gen 9300H 2,2 - 4,1 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce GTX 1650 + Intel UHD Graphics 630,,3 499 z?
"HP 15s-fq1142nw 15,6"" Intel® Core™ i5-1035G1 - 8GB RAM - 512GB Dysk",HP,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 10gen 1035G1 1,0 - 3,6 GHz",8 GB RAM,512 GB SSD,Intel® UHD Graphics,,"2 599 z?
			
				
					2 699 z?
				Taniej o 100 z?
		
		
					Cena z kodem: RKW03090709C
			
	
			(obowi?zuje do 07.09.2020 do 23:45)
				
	
	
  Dodaj do koszyka produkt obj?ty promocj?.
  Kod rabatowy naliczy si? automatycznie w koszyku.
  Kod nie ??czy si? z innymi kodami rabatowymi.
  Promocja obowi?zuje od 03.09.2020 od godz. 00:01 do 07.09.2020 do godz. 23:45.
  Szczegó?y w regulaminie"
"HP 15s-eq0036nw 15,6"" AMD Ryzen 7 3700U - 16GB RAM - 1TB SSD Dysk - Win10",HP,"15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 7 3700U 2,3 - 4,0 GHz",16 GB RAM,1 TB SSD,AMD Radeon Vega 10,Windows 10 Home Edition,3 449 z?
"Lenovo Yoga S730-13IWL 13,3"" Intel® Core™ i5-8265U - 8GB RAM - 256GB Dysk - Win10",Lenovo,"13,3 cala,  1920 x 1080 pikseli","Intel® Core™ i5 8gen 8265U 1,6 - 3,9 GHz",8 GB RAM,256 GB SSD,Intel® UHD Graphics 620,Windows 10 Home Edition,3 899 z?
"Dell XPS 15 9575 15,6'' i5-8305G - 8GB RAM - 256GB SSD Dysk - Win10",Dell,"15,6 cala, ekran dotykowy 1920 x 1080 pikseli","Intel® Core™ i5 8gen 8305G 2,8 - 3,8 GHz",8 GB RAM,256 GB SSD,AMD Radeon RX Vega M GL Graphics,Windows 10 Home Edition,"8 499 z?
			
				
					9 099 z?
				Taniej o 600 z?
		
		
					Cena z kodem: MZN020920
			
	
			(obowi?zuje do 05.09.2020 do 23:45)
				
	
	
  Dodaj do koszyka produkt obj?ty promocj?.
  Kod rabatowy naliczy si? automatycznie w koszyku.
  Kod nie ??czy si? z innymi kodami rabatowymi.
  Promocja obowi?zuje od 02.09.2020 od godz. 00:01 do 05.09.2020 do godz. 23:45.
  Szczegó?y w regulaminie"
,Apple,"16 cali,  3072 x 1920 pikseli","Intel® Core™ i9 9gen 9880H 2,3 - 4,8 GHz",32 GB RAM,1 TB SSD,AMD Radeon Pro 5500M + Intel UHD Graphics 630,,15 499 z?
"MSI Prestige 14 A10SC-216PL 14"" Intel® Core™ i7-10710U - 16GB RAM - 512GB Dysk - GTX1650 Max-Q Grafika - Win10",MSI,"14 cali,  1920 x 1080 pikseli","Intel® Core™ i7 10gen 10710U 1,1 - 4,7 GHz",16 GB RAM,512 GB SSD,nVidia® GeForce GTX 1650 Max-Q + Intel UHD Graphics,Windows 10 Home Edition,5 899 z?
"ASUS ROG Zephyrus M GU502GU-AZ106T 15,6"" 240Hz Intel® Core™ i7-9750H - 16GB RAM - 512GB Dysk - GTX1660Ti Grafika - Win10",ASUS,"15,6 cala,  1920 x 1080 pikseli 240 Hz","Intel® Core™ i7 9gen 9750H 2,6 - 4,5 GHz",16 GB RAM,512 GB SSD,nVidia® GeForce GTX 1660Ti + Intel UHD Graphics 630,Windows 10 Home Edition,6 999 z?
Dell Inspiron 5405-6018 14'' AMD Ryzen 7 4700U - 8GB RAM - 512GB Dysk - Win10,Dell,"14 cali,  1920 x 1080 pikseli","AMD Ryzen™ 7 4700U 2,0 - 4,1 GHz",8 GB RAM,512 GB SSD,AMD Radeon Graphics,Windows 10 Home Edition,4 299 z?
"MSI Creator 17M A10SD 17,3"" 144Hz Intel® Core™ i7-10750H - 16GB RAM - 512GB Dysk - GTX1660Ti Max-Q Grafika - Win10",MSI,"17,3 cala,  1920 x 1080 pikseli 144 Hz","Intel® Core™ i7 10gen 10750H 2,6 - 5,0 GHz",16 GB RAM,512 GB SSD,nVidia® GeForce GTX 1660 Ti Max-Q + Intel UHD Graphics,Windows 10 Home Edition,6 799 z?
"HP OMEN 15-en0001nw 15,6"" 144Hz AMD Ryzen 5 4600H - 8GB RAM - 512GB Dysk - GTX1660Ti Grafika - Win10",HP,"15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 5 4600H 3,0 - 4,0 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce GTX 1660 Ti + AMD Radeon Vega 8,Windows 10 Home Edition,5 499 z?
"Dell XPS 13 7390-1808 13,3"" Intel® Core™ i7-10710U - 16GB RAM - 512GB Dysk - Win10",Dell,"13,3 cala, ekran dotykowy 1920 x 1080 pikseli","Intel® Core™ i7 10gen 10710U 1,1 - 4,7 GHz",16 GB RAM,512 GB SSD,Intel® UHD Graphics,Windows 10 Home Edition,9 099 z?
"Huawei MateBook X Pro 2020 13,9"" Intel® Core™ i7-10510U - 16GB RAM - 1TB SSD Dysk - MX250 Grafika - Win10 Pro",Huawei,"13,9 cala, ekran dotykowy 3000 x 2000 pikseli","Intel® Core™ i7 10gen 10510U 1,8 - 4,9 GHz",16 GB RAM,1 TB SSD,nVidia® GeForce MX 250 + Intel UHD Graphics,Windows 10 Professional,8 499 z?
"ASUS ROG Strix Scar II GL704GW-EV002T 17,3"" Intel® Core™ i7-8750H - 16GB RAM - 1TB + 256GB Dysk - RTX2070 Grafika - Win10",ASUS,"17,3 cala,  1920 x 1080 pikseli","Intel® Core™ i7 8gen 8750H 2,2 - 3,7 GHz",16 GB RAM,1 TB HDD 256 GB SSD,nVidia® Geforce RTX 2070,Windows 10 Home Edition,9 999 z?
"MSI Modern 14 A10RAS-1061PL 14"" Intel® Core™ i5-10210U - 8GB RAM - 512GB Dysk - MX330 Grafika - Win10",MSI,"14 cali,  1920 x 1080 pikseli","Intel® Core™ i5 10gen 10210U 1,6 - 4,2 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce MX 330 + Intel UHD Graphics,Windows 10 Home Edition,3 899 z?
"Huawei MateBook X Pro 2020 13,9"" Intel® Core™ i5-10210U - 16GB RAM - 512GB Dysk - MX250 Grafika - Win10 Pro",Huawei,"13,9 cala, ekran dotykowy 3000 x 2000 pikseli","Intel® Core™ i5 10gen 10210U 1,6 - 4,2 GHz",16 GB RAM,512 GB SSD,nVidia® GeForce MX 250 + Intel UHD Graphics,Windows 10 Professional,6 999 z?
"ASUS TUF Gaming A15 FA506IU-AL019 15,6'' 144Hz AMD Ryzen 7 4800H - 16GB RAM - 1TB SSD Dysk - GTX1660Ti Grafika",ASUS,"15,6 cala,  1920 x 1080 pikseli 144 Hz","AMD Ryzen™ 7 4800H 2,9 - 4,2 GHz",16 GB RAM,1 TB SSD,nVidia® GeForce GTX 1660 Ti + AMD Radeon Graphics,,4 999 z?
"HP 15s-fq1079nw 15,6"" Intel® Core™ i3-1005G1 - 8GB RAM - 256GB Dysk - Win10",HP,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i3 10gen 1005G1 1,2 - 3,4 GHz",8 GB RAM,256 GB SSD,Intel® UHD Graphics,Windows 10 Home Edition,2 399 z?
"Dell XPS 13 7390-8421 13,3"" Intel® Core™ i5-10210U - 8GB RAM - 512GB Dysk - Win10",Dell,"13,3 cala,  1920 x 1080 pikseli","Intel® Core™ i5 10gen 10210U 1,6 - 4,2 GHz",8 GB RAM,512 GB SSD,Intel® UHD Graphics,Windows 10 Home Edition,"6 499 z?
			
				
					7 199 z?
				Taniej o 700 z?
		
		
					Cena z kodem: MZN020920
			
	
			(obowi?zuje do 05.09.2020 do 23:45)
				
	
	
  Dodaj do koszyka produkt obj?ty promocj?.
  Kod rabatowy naliczy si? automatycznie w koszyku.
  Kod nie ??czy si? z innymi kodami rabatowymi.
  Promocja obowi?zuje od 02.09.2020 od godz. 00:01 do 05.09.2020 do godz. 23:45.
  Szczegó?y w regulaminie"
"ASUS ROG Zephyrus G14 GA401IV-HE007T 14"" 120Hz AMD Ryzen 7 4800HS - 8GB RAM - 1TB SSD Dysk - RTX2060 Grafika - Win10",ASUS,"14 cali,  1920 x 1080 pikseli 120 Hz","AMD Ryzen™ 7 4800HS 2,9 - 4,2 GHz",8 GB RAM,1024 GB SSD,nVidia® GeForce RTX 2060 + AMD Radeon RX Vega,Windows 10 Home Edition,7 499 z?
"Lenovo ThinkPad E15 15,6"" Intel® Core™ i5-10210U - 8GB RAM - 256GB Dysk - Win10 Pro",Lenovo,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 10gen 10210U 1,6 - 4,2 GHz",8 GB RAM,256 GB SSD,Intel® UHD Graphics,Windows 10 Professional,3 699 z?
"ASUS ROG Strix G G531GW 15,6"" Intel® Core™ i7-9750H - 16GB RAM - 1TB + 256GB Dysk - RTX2070 Grafika - Win10",ASUS,"15,6 cala,  1920 x 1080 pikseli 120 Hz","Intel® Core™ i7 9gen 9750H 2,6 - 4,5 GHz",16 GB RAM,1 TB HDD 256 GB SSD,nVidia® GeForce RTX 2070 + Intel UHD Graphics 630,Windows 10 Home Edition,"6 999 z?
			
				
					7 799 z?
				Taniej o 800 z?
		
		
					Cena z kodem: MZN020920
			
	
			(obowi?zuje do 05.09.2020 do 23:45)
				
	
	
  Dodaj do koszyka produkt obj?ty promocj?.
  Kod rabatowy naliczy si? automatycznie w koszyku.
  Kod nie ??czy si? z innymi kodami rabatowymi.
  Promocja obowi?zuje od 02.09.2020 od godz. 00:01 do 05.09.2020 do godz. 23:45.
  Szczegó?y w regulaminie"
"Lenovo Legion 5 15ARH05 15,6"" AMD Ryzen 5 4600H - 8GB RAM - 512GB Dysk - GXT1650 Grafika - Win10",Lenovo,"15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 5 4600H 3,0 - 4,0 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce GTX 1650 + AMD Radeon Graphics,Windows 10 Home Edition,
"ASUS ROG Strix SCAR III G531GW-AZ301 15,6"" 240Hz Intel® Core™ i9-9880H - 16GB RAM - 1TB SSD Dysk - RTX2070 Grafika",ASUS,"15,6 cala,  1920 x 1080 pikseli 240 Hz","Intel® Core™ i9 9gen 9880H 2,3 - 4,8 GHz",16 GB RAM,1 TB SSD,nVidia® GeForce RTX 2070 + Intel UHD Graphics 630,,"8 799 z?
			
				
					9 899 z?
				Taniej o 1100 z?
		
		
					Cena z kodem: MZN020920
			
	
			(obowi?zuje do 05.09.2020 do 23:45)
				
	
	
  Dodaj do koszyka produkt obj?ty promocj?.
  Kod rabatowy naliczy si? automatycznie w koszyku.
  Kod nie ??czy si? z innymi kodami rabatowymi.
  Promocja obowi?zuje od 02.09.2020 od godz. 00:01 do 05.09.2020 do godz. 23:45.
  Szczegó?y w regulaminie"
HP Pavilion 14-ce3017nw 14'' Intel® Core™ i5-1035G1 - 8GB RAM - 512GB Dysk - MX130 Grafika - Win10,HP,"14 cali,  1920 x 1080 pikseli","Intel® Core™ i5 10gen 1035G1 1,0 - 3,6 GHz",8 GB RAM,512 GB,nVidia® UHD Graphics,Windows 10 Home Edition,3 249 z?
"Microsoft Surface Pro 6 12,3"" Intel® Core™ i7-8650U - 8GB RAM - 256GB Dysk - Win10 (platynowy)",Microsoft,"12,3 cala, ekran dotykowy 2740 x 1824 pikseli","Intel® Core™ i7 8gen 8650U 1,9 - 4,2 GHz",8 GB RAM,256 GB SSD,Intel® UHD Graphics 620,Windows 10 Home Edition,"6 999 z?
			
				
					7 399 z?
				Taniej o 400 z?
		
		
					Cena z kodem: MZN020920
			
	
			(obowi?zuje do 05.09.2020 do 23:45)
				
	
	
  Dodaj do koszyka produkt obj?ty promocj?.
  Kod rabatowy naliczy si? automatycznie w koszyku.
  Kod nie ??czy si? z innymi kodami rabatowymi.
  Promocja obowi?zuje od 02.09.2020 od godz. 00:01 do 05.09.2020 do godz. 23:45.
  Szczegó?y w regulaminie"
"Lenovo Yoga S730-13IML 13,3"" Intel® Core™ i7-10510U - 8GB RAM - 256GB Dysk - Win10",Lenovo,"13,3 cala,  1920 x 1080 pikseli","Intel® Core™ i7 10gen 10510U 1,8 - 4,9 GHz",8 GB RAM,256 GB SSD,Intel® UHD Graphics,Windows 10 Home Edition,"3 699 z?
			
				
					4 199 z?
				Taniej o 500 z?
		
		
					Cena z kodem: RKW03090709C
			
	
			(obowi?zuje do 07.09.2020 do 23:45)
				
	
	
  Dodaj do koszyka produkt obj?ty promocj?.
  Kod rabatowy naliczy si? automatycznie w koszyku.
  Kod nie ??czy si? z innymi kodami rabatowymi.
  Promocja obowi?zuje od 03.09.2020 od godz. 00:01 do 07.09.2020 do godz. 23:45.
  Szczegó?y w regulaminie"
,Apple,"16 cali,  3072 x 1920 pikseli","Intel® Core™ i9 9gen  2,3 - 4,8 GHz",16 GB RAM,1 TB SSD,AMD Radeon Pro 5500M + Intel UHD Graphics 630,,13 299 z?
