Title,Screen,Processor,RAM,Disk,Graphic_card,Operating_system,Price,Discounted_price
Laptop LENOVO V14 IIL i5-1035G1 8GB 256GB SSD W10P,"14"", 1920 x 1080px",Intel Core i5-1035G1,8,256 GB SSD,Intel UHD Graphics,Windows 10 Professional,,3 199
Laptop HP Spectre x360 13-AW0017NW i7-1065G7 16GB 512GB SSD W10,"13.3"", 1920 x 1080px, Dotykowy",Intel Core i7-1065G7,16,512 GB SSD,Intel Iris Plus Graphics,Windows 10 Home,,6 750
Laptop ACER Predator Helios 700 i7-9750H 16GB 1000GB 512GB SSD GF-RTX 2070 W10,"17.3"", 1920 x 1080px",Intel Core i7-9750H,16,1000 GB HDD + 512 GB SSD,NVIDIA GeForce RTX 2070,Windows 10 Home,,10 299
Laptop ACER Aspire 7 i7-8705G 8GB 512GB SSD DOS,"15.6"", 1920 x 1080px",Intel Core i7-8705G,8,512 GB SSD,AMD Radeon RX Vega M GL,Brak,,3 599
Laptop LENOVO ThinkPad E15 i5-10210U 8GB 256GB SSD W10P,"15.6"", 1920 x 1080px",Intel Core i5-10210U,8,1000 GB HDD + 256 GB SSD,AMD Radeon RX 640,Windows 10 Professional,4 399,4 199
Laptop LENOVO ThinkPad E14 i5-10210U 16GB 256GB SSD W10P,"14"", 1920 x 1080px",Intel Core i5-10210U,16,256 GB SSD,Intel UHD Graphics,Windows 10 Professional,,4 299
Laptop MSI Raider GE75 i7-9750H 16GB 1000GB 512GB SSD GF-RTX2080 W10,"17.3"", 1920 x 1080px",Intel Core i7-9750H,16,1000 GB HDD + 512 GB SSD,NVIDIA GeForce RTX 2080,Windows 10 Home,,10 399
Laptop DELL Inspiron G5 5590 i7-9750H 16GB 1000GB 256GB SSD RTX2060 W10,"15.6"", 1920 x 1080px",Intel Core i7-9750H,16,1000 GB HDD + 256 GB SSD,NVIDIA GeForce RTX 2060,Windows 10 Home,,6 999
Laptop MSI GE66 Raider i7-10875H 16GB 1000GB SSD GF-RTX 2080S Max-Q W10,"15.6"", 1920 x 1080px",Intel Core i7-10875H,16,1000 GB SSD,NVIDIA GeForce RTX 2080 Super Max-Q,Windows 10 Home,12 799,11 999
Laptop LENOVO IdeaPad 3 15 Ryzen 5 3500U 8GB 256GB SSD W10,"15.6"", 1920 x 1080px",AMD Ryzen 5 3500U,8,256 GB SSD,AMD Radeon Vega 8,Windows 10 Home,2 942,2 599
Laptop LENOVO IdeaPad 3 14 Ryzen 3 3250U 8GB 256GB SSD W10S,"14"", 1920 x 1080px",AMD Ryzen 3 3250U,8,256 GB SSD,AMD Radeon Graphics,Windows 10 S,,2 599
Laptop LENOVO IdeaPad S540 i5-10210U 16GB 1000GB SSD W10,"13.3"", 2560 x 1600px",Intel Core i5-10210U,16,1000 GB SSD,Intel UHD Graphics,Windows 10 Home,5 299,4 899
Laptop LENOVO Legion 5 17IMH05 i7-10750H 8GB 512GB SSD GF-GTX 1650 DOS,"17.3"", 1920 x 1080px",Intel Core i7-10750H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,,4 849
Laptop LENOVO Legion 5 17IMH05 i5-10300H 8GB 256GB SSD GF-GTX 1650 DOS,"17.3"", 1920 x 1080px",Intel Core i5-10300H,8,256 GB SSD,NVIDIA GeForce GTX 1650,Brak,,4 149
Laptop ACER Predator Triton 500 i7-10875H 16GB 512GB SSD GF-RTX 2070S DOS,"15.6"", 1920 x 1080px",Intel Core i7-10875H,16,512 GB SSD,NVIDIA GeForce RTX 2070 Super,Brak,,8 649
Laptop LENOVO IdeaPad 5 14IIL05 i7-1065G7 8GB 1000GB SSD GF-MX 350 W10,"14"", 1920 x 1080px",Intel Core i7-1065G7,8,1000 GB SSD,NVIDIA GeForce MX350,Windows 10 Home,,4 299
Laptop ACER Chromebook CB314-1H-C8AM N4000 4GB 64GB eMMC Chrome,"14"", 1920 x 1080px",Intel Celeron N4000,4,64 GB Flash,Intel UHD Graphics 600,Chrome OS,,1 529
Laptop ASUS ZenBook Duo 14 i5-10210U 16GB 512GB SSD W10,"14"", 1920 x 1080px, Dotykowy",Intel Core i5-10210U,16,512 GB SSD,Intel UHD Graphics,Windows 10 Home,,5 490
Laptop DELL Inspiron 13 7391 i7-10510U 8GB 512GB SSD W10,"13.3"", 1920 x 1080px, Dotykowy",Intel Core i7-10510U,8,512 GB SSD,Intel UHD Graphics,Windows 10 Home,,5 499
Laptop HP ProBook 440 G7 i5-10210U 8GB 1000GB 256GB SSD W10P,"14"", 1920 x 1080px",Intel Core i5-10210U,8,1000 GB HDD + 256 GB SSD,Intel UHD Graphics,Windows 10 Professional,,3 799
Laptop MSI GE75 Raider i9-10980HK 16GB 1000 512GB SSD GF-RTX 2070 Super W10,"17.3"", 1920 x 1080px",Intel Core i9-10980HK,16,1000 GB HDD + 512 GB SSD,NVIDIA GeForce RTX 2070 Super,Windows 10 Home,,11 999
Laptop MSI Prestige 15 i5-10210U 8GB 512GB SSD GF-GTX 1650 Max-Q W10,"15.6"", 1920 x 1080px",Intel Core i5-10210U,8,512 GB SSD,NVIDIA GeForce GTX 1650 Max-Q,Windows 10 Home,5 599,5 399
Laptop ACER Aspire 7 i5-8305G 8GB 512GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i5-8305G,8,512 GB SSD,AMD Radeon RX Vega M GL,Windows 10 Home,,3 599
Laptop HP ProBook 440 G7 i5-10210U 8GB 256GB SSD W10P,"14"", 1920 x 1080px",Intel Core i5-10210U,8,256 GB SSD,Intel UHD Graphics,Windows 10 Professional,,3 999
Laptop ACER ConceptD 7 Pro i7-9750H 32GB 1000GB SSD GF-RTX5000 W10P,"15.6"", 3840 x 2160px",Intel Core i7-9750H,32,1000 GB SSD,NVIDIA Quadro RTX 5000 Max-Q,Windows 10 Professional,,18 999
Laptop ACER Spin 5 i5-1035G4 16GB 512GB SSD W10,"13.5"", 2256 x 1504px, Dotykowy",Intel Core i5-1035G4,16,512 GB SSD,Intel Iris Plus Graphics,Windows 10 Home,,4 799
Laptop LENOVO ThinkPad E15 i5-10210U 8GB 256GB SSD W10P,"15.6"", 1920 x 1080px",Intel Core i5-10210U,8,256 GB SSD,Intel UHD Graphics,Windows 10 Professional,,4 099
Laptop LENOVO ThinkBook 13s i5-10210U 16GB 512GB SSD W10P,"13.3"", 1920 x 1080px",Intel Core i5-10210U,16,512 GB SSD,Intel UHD Graphics 620,Windows 10 Professional,,4 349
Laptop LENOVO ThinkBook 13s i5-10210U 8GB 512GB SSD W10P,"13.3"", 1920 x 1080px",Intel Core i5-10210U,8,512 GB SSD,Intel UHD Graphics 620,Windows 10 Professional,,3 899
Laptop ACER Aspire 7 i5-8305G 8GB 512GB SSD DOS,"15.6"", 1920 x 1080px",Intel Core i5-8305G,8,512 GB SSD,AMD Radeon RX Vega M GL,Brak,,3 249
Laptop HP Omen 15-DC1075NW i7-8750H 16GB 1000GB 512GB SSD GF-RTX 2070 W10,"15.6"", 1920 x 1080px",Intel Core i7-8750H,16,1000 GB HDD + 512 GB SSD,NVIDIA GeForce RTX 2070 Max-Q,Windows 10 Home,,8 899
Laptop LENOVO ThinkPad E14 i5-10210U 8GB 256GB SSD W10P,"14"", 1920 x 1080px",Intel Core i5-10210U,8,256 GB SSD,Intel UHD Graphics,Windows 10 Professional,3 899,3 717
Laptop HUAWEI MateBook X Pro i5-8265U 8GB 512GB SSD GF-MX 250 W10,"13.9"", 3000 x 2000px, Dotykowy",Intel Core i5-8265U,8,512 GB SSD,NVIDIA GeForce MX250,Windows 10 Home,,5 999
Laptop HP Omen 17-CB0046NW i7-9750H 16GB 512GB SSD GF-RTX 2060 W10,"17.3"", 1920 x 1080px",Intel Core i7-9750H,16,512 GB SSD,NVIDIA GeForce RTX 2060,Windows 10 Home,,7 699
Laptop MICROSOFT Surface Laptop 3 Ryzen 5 3580U 8GB 256GB SSD W10,"15"", 2496 x 1664px, Dotykowy",AMD Ryzen 5 3580U,8,256 GB SSD,AMD Radeon Vega 9,Windows 10 Home,,7 299
Laptop MICROSOFT Surface Pro 7 i7-1065G7 16GB 256GB SSD W10,"12.3"", 2736 x 1824px, Dotykowy",Intel Core i7-1065G7,16,256 GB SSD,Intel Iris Plus Graphics,Windows 10 Home,,7 299
Laptop MICROSOFT Surface Pro 7 i5-1035G4 16GB 256GB SSD W10,"12.3"", 2736 x 1824px, Dotykowy",Intel Core i5-1035G4,16,256 GB SSD,Intel Iris Plus Graphics,Windows 10 Home,,6 849
Laptop MICROSOFT Surface Laptop 3 i5-1035G7 8GB 128GB SSD W10,"13.5"", 2256 x 1504px, Dotykowy",Intel Core i5-1035G7,8,128 GB SSD,Intel Iris Plus Graphics 950,Windows 10 Home,,4 999
Laptop MICROSOFT Surface Laptop 3 i5-1035G7 8GB 256GB SSD W10,"13.5"", 2256 x 1504px, Dotykowy",Intel Core i5-1035G7,8,256 GB SSD,Intel Iris Plus Graphics,Windows 10 Home,,6 399
Laptop MICROSOFT Surface Pro X SQ1 8GB 128GB SSD W10,"13"", 2880 x 1920px, Dotykowy",Microsoft SQ1,8,128 GB SSD,Adreno 685,Windows 10 Home,,4 999
Laptop DELL Inspiron 15 G5 5590 i7-9750H 16GB 512GB SSD GF-RTX2060 W10,"15.6"", 1920 x 1080px",Intel Core i7-9750H,16,512 GB SSD,NVIDIA GeForce RTX 2060,Windows 10 Home,,6 999
Laptop DELL Inspiron G5 5590 i7-9750H 16GB 1000GB 256GB SSD GF-GTX 1660Ti W10,"15.6"", 1920 x 1080px",Intel Core i7-9750H,16,1000 GB HDD + 256 GB SSD,NVIDIA GeForce GTX 1660 Ti,Windows 10 Home,,6 499
Laptop ASUS Rog Strix G G531GV i7-9750H 16GB 1000GB 256GB SSD GF-RTX 2060 W10,"15.6"", 1920 x 1080px",Intel Core i7-9750H,16,1000 GB HDD + 256 GB SSD,"Intel UHD Graphics 630,
NVIDIA GeForce RTX 2060",Windows 10 Home,,7 599
Laptop LENOVO V340-17IWL i5-8265U 8GB 512GB SSD GF-MX110 W10P,"17.3"", 1920 x 1080px",Intel Core i5-8265U,8,512 GB SSD,NVIDIA GeForce MX110,Windows 10 Professional,,4 299
Laptop LG Gram 14Z90N-V i5-1035G7 8GB 256GB SSD W10,"14"", 1920 x 1080px",Intel Core i5-1035G7,8,256 GB SSD,Intel Iris Plus Graphics,Windows 10 Home,5 699,5 199
Laptop LG Gram 15Z90N-V i5-1053G7 8GB 256GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i5-1035G7,8,256 GB SSD,Intel Iris Plus Graphics,Windows 10 Home,6 199,5 699
Laptop ACER Nitro 7 i5-9300H 8GB 512GB SSD GF-GTX 1650 W10,"15.6"", 1920 x 1080px",Intel Core i5-9300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,,4 499
Laptop ACER Predator Helios 500 (NH.Q3NEP.015) i9-8950HK 16GB 256GB SSD GF-GTX1070 WIN10,"17.3"", 1920 x 1080px",Intel Core i9-8950HK,16,256 GB SSD,NVIDIA GeForce GTX 1070,Windows 10 Home,,11 999
APPLE MacBook 12 M3-7Y32 8GB 256GB SSD macOS,"12.1"", 2304 x 1440px",Intel Core M3-7Y32,8,256 GB SSD,Intel HD Graphics 615,macOS Sierra,,5 552
Laptop MSI GS63VR 7RG Stealth Pro i7-7700HQ 16GB 1000GB 256 SSD W10,"15.6"", 1920 x 1080px",Intel Core i7-7700HQ,16,1000 GB HDD + 256 GB SSD,NVIDIA GeForce GTX 1070,Windows 10 Home,,8 569
Laptop DELL XPS 12 (9250-3744) M5-6Y57 8GB 128GB SSD W10,"12.5"", 1920 x 1080px, Dotykowy",Intel Core M5-6Y57,8,128 GB SSD,Intel HD Graphics 515,Windows 10 Home,,6 199
Laptop FUJITSU Lifebook S904 i5-4300U 8GB 500GB W7P/W8.1P,"13.3"", 2560 x 1440px",Intel Core i5-4300U,8,500 GB HDD,Intel HD Graphics 4400,Windows 8.1 Professional,,6 539
Laptop ASUS Rog Zephyrus S17 GX701LXS i7-10750H 32GB 1000GB SSD GF-RTX 2080S W10,"17.3"", 1920 x 1080px",Intel Core i7-10750H,32,1000 GB SSD,NVIDIA GeForce RTX 2080 Super,Windows 10 Home,19 599,16 999
Laptop ASUS Rog Zephyrus S17 GX701LXS i7-10875H 32GB 1000GB SSD GF-RTX 2080S W10,"17.3"", 1920 x 1080px",Intel Core i7-10875H,32,1000 GB SSD,NVIDIA GeForce RTX 2080 Super,Windows 10 Home,19 599,16 999
Laptop ASUS Rog Strix G17 G712LV i7-10750H 16GB 512GB SSD GF-RTX 2060 W10,"17.3"", 1920 x 1080px",Intel Core i7-10750H,16,512 GB SSD,NVIDIA GeForce RTX 2060,Windows 10 Home,9 799,8 499
Laptop ASUS Rog Zephyrus M15 GU502LW i7-10750H 16GB 1000GB SSD GF-RTX 2070 W10,"15.6"", 1920 x 1080px",Intel Core i7-10750H,16,1000 GB SSD,NVIDIA GeForce RTX 2070,Windows 10 Home,11 499,9 999
Laptop ASUS Rog Strix G17 i7-10750H 16GB 1000GB SSD GF-RTX 2060 W10,"17.3"", 1920 x 1080px",Intel Core i7-10750H,16,1000 GB SSD,NVIDIA GeForce RTX 2060,Windows 10 Home,10 999,9 499
Laptop ASUS Rog Strix G15 G512LV i7-10750H 16GB 512GB SSD GF-RTX 2060 W10,"15.6"", 1920 x 1080px",Intel Core i7-10750H,16,512 GB SSD,NVIDIA GeForce RTX 2060,Windows 10 Home,9 799,8 499
Laptop MSI GL65 Leopard 10SCSR i7-10750H 8GB 256GB SSD GF-GTX 1650Ti DOS,"15.6"", 1920 x 1080px",Intel Core i7-10750H,8,256 GB SSD,NVIDIA GeForce GTX 1650 TI,Brak,5 099,4 399
Laptop DELL Inspiron 14 i5-1035G1 8GB 256GB SSD W10P,"14"", 1920 x 1080px",Intel Core i5-1035G1,8,256 GB SSD,Intel UHD Graphics,Windows 10 Professional,,3 599
Laptop ASUS Rog Strix G15 G512LW i7-10750H 16GB 1000GB SSD GF-RTX 2070 DOS,"15.6"", 1920 x 1080px",Intel Core i7-10750H,16,1000 GB SSD,NVIDIA GeForce RTX 2070,Brak,,9 199
Laptop ASUS Rog Strix G15 G512LW i7-10750H 16GB 512GB SSD GF-RTX 2070 W10,"15.6"", 1920 x 1080px",Intel Core i7-10750H,16,512 GB SSD,NVIDIA GeForce RTX 2070,Windows 10 Home,,8 799
Laptop ASUS Rog Zephyrus S17 i7-10750H 16GB 1000GB SSD GF-RTX 2060 W10,"17.3"", 1920 x 1080px",Intel Core i7-10750H,16,1000 GB SSD,NVIDIA GeForce RTX 2060,Windows 10 Home,,10 499
Laptop ACER Aspire 7 Ryzen 7 3750H 8GB 512GB SSD GF-GTX 1650 DOS,"15.6"", 1920 x 1080px",AMD Ryzen 7 3750H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,,3 499
Laptop MSI GE66 Raider i7-10875H 16GB 1000GB SSD GF-RTX 2070 W10,"15.6"", 1920 x 1080px",Intel Core i7-10875H,16,1000 GB SSD,NVIDIA GeForce RTX 2070 Super,Windows 10 Home,11 999,9 999
Laptop LENOVO IdeaPad Gaming 3 15IMH05 i5-10300H 8GB 512GB SSD GF-GTX 1650 DOS,"15.6"", 1920 x 1080px",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,,3 763
Laptop LENOVO IdeaPad Gaming 3 15IMH05 i5-10300H 8GB 512GB SSD GF-GTX 1650Ti W10,"15.6"", 1920 x 1080px",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650 TI,Windows 10 Home,,4 449
Laptop LENOVO Legion 5 15IMH05 i5-10300H 8GB 512GB SSD GF-GTX 1650 DOS,"15.6"", 1920 x 1080px",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,4 099,3 899
Laptop LENOVO Legion 5 15IMH05 i5-10300H 8GB 512GB SSD GF-GTX 1650 W10,"15.6"", 1920 x 1080px",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,,4 599
Laptop LENOVO Legion 5 15IMH05 i5-10300H 8GB 512GB SSD GF-GTX 1650 W10,"15.6"", 1920 x 1080px",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,,4 599
Laptop LENOVO Legion 5 15IMH05 i5-10300H 8GB 512GB SSD GF-GTX 1650 DOS,"15.6"", 1920 x 1080px",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,,4 099
Laptop LENOVO Legion 5 15IMH05 i7-10750H 8GB 512GB SSD GF-GTX 1650Ti DOS,"15.6"", 1920 x 1080px",Intel Core i7-10750H,8,512 GB SSD,NVIDIA GeForce GTX 1650 TI,Brak,,4 599
Laptop LENOVO ThinkPad E14 Ryzen 3 4300U 8GB 256GB SSD W10P,"14"", 1920 x 1080px",AMD Ryzen 3 4300U,8,256 GB SSD,AMD Radeon Graphics,Windows 10 Professional,3 499,3 349
Laptop LENOVO ThinkPad E15 Ryzen 3 4300U 4GB 256GB SSD W10P,"15.6"", 1920 x 1080px",AMD Ryzen 3 4300U,4,256 GB SSD,AMD Radeon Graphics,Windows 10 Professional,,3 349
Laptop ASUS TUF Gaming FX505DT Ryzen 5 3550H 8GB 512GB SSD GF-GTX 1650 W10,"15.6"", 1920 x 1080px",AMD Ryzen 5 3550H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,,3 999
Laptop ASUS A509JA i3-1005G1 4GB 256GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i3-1005G1,4,256 GB SSD,Intel UHD Graphics,Windows 10 Home,,2 599
Laptop MSI GL65 Leopard 10SCSR i5-10300H 8GB 256GB SSD GF-GTX 1650Ti DOS,"15.6"", 1920 x 1080px",Intel Core i5-10300H,8,256 GB SSD,NVIDIA GeForce GTX 1650 TI,Brak,4 599,4 099
Laptop MSI GL75 Leopard 10SCSR i5-10300H 8GB 256GB SSD GF-GTX 1650Ti DOS,"17.3"", 1920 x 1080px",Intel Core i5-10300H,8,256 GB SSD,NVIDIA GeForce GTX 1650 TI,Brak,5 099,4 299
Laptop LENOVO IdeaPad 5 14IIL05 i5-1035G1 8GB 512GB SSD GF-MX350 W10,"14"", 1920 x 1080px",Intel Core i5-1035G1,8,512 GB SSD,NVIDIA GeForce MX350,Windows 10 Home,,3 799
Laptop LENOVO Legion Y540-15IRH i7-9750HF 8GB 256GB SSD GF-GTX 1660Ti DOS,"15.6"", 1920 x 1080px",Intel Core i7-9750HF,8,256 GB SSD,NVIDIA GeForce GTX 1660 Ti,Brak,,4 699
Laptop DELL Inspiron 14 Ryzen 7 4700U 8GB 512GB SSD W10,"14"", 1920 x 1080px",AMD Ryzen 7 4700U,8,512 GB SSD,AMD Radeon Graphics,Windows 10 Home,,4 299
Laptop ASUS ROG Zephyrus Duo 15 i9-10980HK 32GB 1000GB SSD GF-RTX 2080 Super Max-Q W10,"15.6"", 1920 x 1080px",Intel Core i9-10980HK,32,1000 GB SSD,NVIDIA GeForce RTX 2080 Super Max-Q,Windows 10 Home,,17 099
Laptop ASUS Rog Strix Scar 15 G532LV i7-10875H 16GB 1000GB SSD GF-RTX 2060 W10P,"15.6"", 1920 x 1080px",Intel Core i7-10875H,16,1000 GB SSD,NVIDIA GeForce RTX 2060,Windows 10 Professional,,8 999
Laptop ASUS Rog Strix Scar 15 G532 i7-10875H 16GB 512GB SSD GF-RTX 2070S W10,"15.6"", 1920 x 1080px",Intel Core i7-10875H,16,512 GB SSD,NVIDIA GeForce RTX 2070 Super,Windows 10 Home,,10 199
Laptop ASUS ZenBook Duo 14 i5-10210U 16GB 512GB SSD W10P,"14"", 1920 x 1080px",Intel Core i5-10210U,16,512 GB SSD,Intel UHD Graphics,Windows 10 Professional,,5 699
Laptop ASUS Rog Strix Scar G532LW i7-10875H 16GB 512GB SSD GF-RTX 2070 W10,"15.6"", 1920 x 1080px",Intel Core i7-10875H,16,512 GB SSD,NVIDIA GeForce RTX 2070,Windows 10 Home,,8 799
Laptop DELL G5 15 5590 i7-9750H 16GB 512GB SSD GF-RTX 2060 Linux,"15.6"", 1920 x 1080px",Intel Core i7-9750H,16,512 GB SSD,NVIDIA GeForce RTX 2060,Linux,,6 549
Laptop DELL Inspiron G5 5590 i7-9750H 16GB 512GB SSD GF-RTX 2060 Linux,"15.6"", 1920 x 1080px",Intel Core i7-9750H,16,512 GB SSD,NVIDIA GeForce RTX 2060,Linux,,6 549
Laptop DELL Inspiron G5 5590 i7-9750H 16GB 1000GB 256GB SSD GF-RTX 2060 Linux,"15.6"", 1920 x 1080px",Intel Core i7-9750H,16,1000 GB HDD + 256 GB SSD,NVIDIA GeForce RTX 2060,Linux,,6 349
Laptop DELL Inspiron G5 5500 i7-10750H 8GB 512GB SSD GF-GTX 1650Ti Linux,"15.6"", 1920 x 1080px",Intel Core i7-10750H,8,512 GB SSD,NVIDIA GeForce GTX 1650 TI,Linux,,5 349
Laptop DELL Inspiron G5 5500 i7-10750H 16GB 1000GB SSD GF-GTX 1660Ti W10,"15.6"", 1920 x 1080px",Intel Core i7-10750H,16,1000 GB SSD,NVIDIA GeForce GTX 1660 Ti,Windows 10 Home,,7 799
Laptop DELL Inspiron G5 5500 i7-10750H 16GB 1000GB SSD GF-RTX 2060 W10,"15.6"", 1920 x 1080px",Intel Core i7-10750H,16,1000 GB SSD,NVIDIA GeForce RTX 2060,Windows 10 Home,,7 649
Laptop MSI GL65 Leopard 10SCXR i5-10300H 8GB 256GB SSD GF-GTX 1650 DOS,"15.6"", 1920 x 1080px",Intel Core i5-10300H,8,256 GB SSD,NVIDIA GeForce GTX 1650,Brak,,4 499
Laptop ACER ConceptD 7 Pro i7-9750H 16GB 1000GB SSD QRTX 3000 W10P,"15.6"", 3840 x 2160px",Intel Core i7-9750H,16,1000 GB SSD,NVIDIA Quadro RTX 3000,Windows 10 Professional,,12 199
Laptop ACER ConceptD 5 Pro i7-9750H 16GB 1000GB SSD QRTX 3000 W10P,"15.6"", 3840 x 2160px",Intel Core i7-9750H,16,1000 GB SSD,NVIDIA Quadro RTX 3000,Windows 10 Professional,,10 499
Laptop ACER ConceptD 3 i7-9750H 8GB 512GB SSD GF-GTX 1650 W10P,"15.6"", 1920 x 1080px",Intel Core i7-9750H,16,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Professional,,7 199
Laptop ACER ConceptD 3 i7-9750H 8GB 512GB SSD GF-GTX 1650 W10P,"15.6"", 1920 x 1080px",Intel Core i7-9750H,16,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Professional,,7 199
Laptop ACER ConceptD 3 i7-9750H 8GB 512GB SSD GF-GTX 1650 W10P,"15.6"", 1920 x 1080px",Intel Core i7-9750H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Professional,,6 499
Laptop MSi GS66 Stealth i9-10980HK 32GB 1000GB SSD GF-RTX 2070 Super Max-Q W10P,"15.6"", 1920 x 1080px",Intel Core i9-10980HK,32,1000 GB SSD,NVIDIA GeForce RTX 2070 Super Max-Q,Windows 10 Professional,,12 499
Laptop MSI GS75 Stealth 10SE i7-10750H 16GB 1000GB SSD GF-RTX2060 W10P,"17.3"", 1920 x 1080px",Intel Core i7-10750H,16,1000 GB SSD,NVIDIA GeForce RTX 2060,Windows 10 Professional,8 899,8 499
Laptop MSI Creator 15M i7-10750H 16GB 512GB SSD GF-GTX 1660Ti Max-Q W10,"15.6"", 1920 x 1080px",Intel Core i7-10750H,16,512 GB SSD,NVIDIA GeForce GTX 1660 Ti Max-Q,Windows 10 Home,,6 699
Laptop MSI GE66 Raider i9-10980HK 16GB 1000GB SSD GF-RTX 2080 Super Max-Q W10,"15.6"", 1920 x 1080px",Intel Core i9-10980HK,16,1000 GB SSD,NVIDIA GeForce RTX 2080 Super Max-Q,Windows 10 Home,,13 999
Laptop MSI GE66 Raider i9-10980HK 16GB 1000GB SSD GF-RTX 2070 Super W10,"15.6"", 1920 x 1080px",Intel Core i9-10980HK,16,1000 GB SSD,NVIDIA GeForce RTX 2070 Super,Windows 10 Home,,11 699
APPLE MacBook Pro 13 i5-1038NG7 16GB 1000GB SSD macOS,"13.3"", 2560 x 1600px",Intel Core i5-1038NG7,16,1000 GB SSD,Intel Iris Plus Graphics,macOS Catalina,,10 890
APPLE MacBook Pro 13 i5-1038NG7 16GB 1000GB SSD macOS,"13.3"", 2560 x 1600px",Intel Core i5-1038NG7,16,1000 GB SSD,Intel Iris Plus Graphics,macOS Catalina,,10 899
Laptop DYNABOOK Satelite Pro L50-G-13K i7-10710U 16GB 1000GB 512GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i7-10710U,16,1000 GB HDD + 512 GB SSD,Intel UHD Graphics 620,Windows 10 Home,,4 499
Laptop LENOVO Legion Y540-15IRH i7-9750H 8GB 256GB SSD GF-GTX 1660Ti W10,"15.6"", 1920 x 1080px",Intel Core i7-9750H,8,256 GB SSD,NVIDIA GeForce GTX 1660 Ti,Windows 10 Home,,5 090
Laptop LENOVO V15 IIL i5-1035G1 8GB 256GB SSD W10P,"15.6"", 1920 x 1080px",Intel Core i5-1035G1,8,256 GB SSD,Intel UHD Graphics,Windows 10 Professional,,3 499
Laptop ASUS Rog Strix Scar III i7-9750H 32GB 1000 GB SSD GF-RTX2070 W10,"17.3"", 1920 x 1080px",Intel Core i7-9750H,32,1000 GB SSD,NVIDIA GeForce RTX 2070,Windows 10 Home,,9 799
Laptop DELL Inspiron G5 5590 i7-9750H 16GB 1000GB 256GB SSD GF-RTX 2060 Linux,"15.6"", 1920 x 1080px",Intel Core i7-9750H,16,1000 GB HDD + 256 GB SSD,NVIDIA GeForce RTX 2060,Linux,,6 149
Laptop HP Spectre X360 13-AW0020NW i7-1065G7 16GB 512GB SSD W10,"13.3"", 3840 x 2160px, Ekran dotykowy",Intel Core i7-1065G7,16,512 GB SSD,Intel Iris Plus Graphics,Windows 10 Home,,7 699
Laptop HP Spectre 13-AW0018NW i7-1065G7 16GB 512GB SSD W10,"13.3"", 1920 x 1080px",Intel Core i7-1065G7,16,512 GB SSD,Intel Iris Plus Graphics,Windows 10 Home,,7 449
Laptop ASUS Zenbook Duo UX481FAC i5-10210U 8GB 512GB SSD W10,"14"", 1920 x 1080px, Dotykowy",Intel Core i5-10210U,8,512 GB SSD,Intel UHD Graphics,Windows 10 Home,,5 299
Laptop ACER Predator Triton 500 i7-9750H 16GB 512GB SSD GF-RTX 2070 Max-Q W10,"15.6"", 1920 x 1080px",Intel Core i7-9750H,16,512 GB SSD,NVIDIA GeForce RTX 2070 Max-Q,Windows 10 Home,,8 699
Laptop ASUS Rog Zephyrus S i7-9750H 16GB 1000GB SSD GF-RTX 2070 W10,"17.3"", 1920 x 1080px",Intel Core i7-9750H,16,1000 GB SSD,NVIDIA GeForce RTX 2070,Windows 10 Home,,11 399
Laptop HP Omen X 15-DG0018NW i7-9750H 16GB 512GB SSD GF-RTX 2070 W10,"15.6"", 1920 x 1080px",Intel Core i7-9750H,16,512 GB SSD,NVIDIA GeForce RTX 2070,Windows 10 Home,,11 499
Laptop HP Omen X 15-DG0017NW i7-9750H 16GB 1000GB SSD GF-RTX 2070 W10,"15.6"", 1920 x 1080px",Intel Core i7-9750H,16,1000 GB SSD,NVIDIA GeForce RTX 2070,Windows 10 Home,,12 499
Laptop HP Omen X 2s 15-DG0000NW i9-9880H 32GB 2x512GB SSD GF-RTX2080 Max-Q W10,"15.6"", 1920 x 1080px",Intel Core i9-9880H,32,512 (x2) GB SSD,NVIDIA GeForce RTX 2080 Max-Q,Windows 10 Home,,16 499
